topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Tsort,0.8,0.8,47,5,0.0
Twitching motility,0.8,0.8,94,50,0.0
Tweedie distribution,0.8,0.8,100,5,0.0
Tumors of the hematopoietic and lymphoid tissues,1.0,1.0,100,10,0.0
Tumor lysis syndrome,0.8,0.8,52,5,0.0
AGM-69 SRAM,0.8,0.8,16,5,0.0
Tube feet,0.6,0.6,79,5,0.0
Urinary meatus,0.8,0.8,7,5,0.0
Urolithin A,1.0,1.0,90,5,0.0
2007 pet food recalls,0.8,0.8,82,205,0.0
2024–25 Furman Paladins men's basketball team,0.6,0.6,91,5,0.0
Verbascoside,0.6,0.6,44,5,0.0
Ventricle (heart),0.8,0.8,51,5,0.0
2020–21 Cypriot First Division,0.8,0.8,73,5,0.0
Vehicular suicide,0.8,0.8,4,5,0.0
2022,1.0,1.0,83,15,0.0
Vedolizumab,0.8,0.8,11,35,0.0
Vector spherical harmonics,0.6,0.6,52,15,0.0
2022 Russian mobilization,0.8,0.8,97,5,0.0
Vector multiplication,1.0,1.0,83,5,0.0
Vector monitor,0.8,0.8,43,10,0.0
2023 British Virgin Islands general election,0.6,0.6,73,5,0.0
Vector fields in cylindrical and spherical coordinates,0.8,0.8,29,5,0.0
Vector area,1.0,1.0,76,20,0.0
Vector algebra relations,0.6,0.6,22,5,0.0
2023 Bryansk Oblast raid,0.6,0.6,22,15,0.0
Vericiguat,0.6,0.6,71,5,0.0
Verse (poetry),0.8,0.8,80,5,0.0
Version history for TLS/SSL support in web browsers,1.0,1.0,78,10,0.0
2014 world series,0.6,0.6,85,645,0.0
2009 Fort Hood shooting,0.6,0.6,73,5,0.0
Viral evasion,0.6,0.6,0,5,0.0
2010 Stockholm bombings,0.8,0.8,87,10,0.0
2014,0.8,0.8,98,5,0.0
2014 Kunming attack,0.6,0.6,30,10,0.0
Viral complementation,0.6,0.6,0,5,0.0
2016 Indian Line of Control strike,0.8,0.8,38,5,0.0
2020s,0.8,0.8,35,10,0.0
Vimentin,0.6,0.6,69,70,0.0
Viking halberd,1.0,1.0,36,5,0.0
Viking 2,0.8,0.8,21,5,0.0
Vietnam War Song Project,0.6,0.6,33,5,0.0
Video compression picture types,0.8,0.8,34,5,0.0
Video Ad Serving Template,0.6,0.6,58,5,0.0
Vector (mathematics and physics),0.8,0.8,13,35,0.0
Vasculitis,0.8,0.8,56,15,0.0
Vascular tumor,0.8,0.8,100,5,0.0
2024–25 Cypriot First Division,1.0,1.0,95,15,0.0
Vacuole,0.8,0.8,69,5,0.0
2024 United States drug shortages,1.0,1.0,43,15,0.0
Vaccinium macrocarpon,0.8,0.8,93,5,0.0
Vaccines and autism,1.0,1.0,37,40,0.0
2024 in sports,0.6,0.6,91,5,0.0
Vaccine passports during the COVID-19 pandemic,1.0,1.0,59,5,0.0
Uveitis,0.8,0.8,16,5,0.0
2024 Spikers' Turf Invitational Conference,0.6,0.6,65,5,0.0
User agent,1.0,1.0,21,5,0.0
Urticarial vasculitis,0.6,0.6,88,75,0.0
Urticaria pigmentosa,0.8,0.8,74,5,0.0
2024–25 Eerste Divisie,0.6,0.6,38,70,0.0
Ursus rossicus,0.6,0.6,67,5,0.0
Ursodoxicoltaurine,0.6,0.6,87,5,0.0
Vacutainer,0.6,0.6,98,10,0.0
Vaginal lubrication,0.6,0.6,99,5,0.0
Vascular plant,0.8,0.8,49,20,0.0
Varanidae,0.8,0.8,91,10,0.0
Vascular malformation,0.6,0.6,85,10,0.0
2023–24 Moldovan Super Liga,0.6,0.6,76,5,0.0
Variational Bayesian methods,1.0,1.0,38,10,0.0
Variation Selectors (Unicode block),0.8,0.8,70,25,0.0
2023–24 Northern Premier League,0.8,0.8,24,10,0.0
Variability hypothesis,0.6,0.6,7,5,0.0
2023–24 UEFA Youth League knockout phase,0.6,0.6,60,5,0.0
Vaginismus,0.8,0.8,42,5,0.0
2024 ASEAN Championship Group B,0.6,0.6,62,10,0.0
Vanilla (genus),0.6,0.6,44,5,0.0
2024 Mannheim stabbing,0.6,0.6,20,5,0.0
Valinomycin,0.6,0.6,32,25,0.0
Vagus nerve stimulation,0.6,0.6,57,5,0.0
Vagovagal reflex,0.8,0.8,82,5,0.0
Alcohol-induced respiratory reactions,0.8,0.8,91,150,0.0
Alcoholic hallucinosis,0.6,0.6,10,5,0.0
Steatohepatitis,0.6,0.6,97,10,0.0
Relapse,0.8,0.8,81,15,0.0
Research library,1.0,1.0,58,15,0.0
Research ethics,0.8,0.8,31,5,0.0
Research design,1.0,1.0,22,5,0.0
Reproductive toxicity,0.8,0.8,68,5,0.0
Replicon (genetics),0.8,0.8,61,20,0.0
Replication (computing),0.6,0.6,23,5,0.0
Reperfusion injury,0.6,0.6,3,30,0.0
Repeat sign,0.6,0.6,30,5,0.0
Apache Taverna,0.8,0.8,19,5,0.0
Rendition aircraft,0.8,0.8,38,5,0.0
Rendering (animal products),0.6,0.6,55,5,0.0
Relic'ing,0.8,0.8,94,5,0.0
Relevance,1.0,1.0,71,40,0.0
Relaxation (NMR),0.8,0.8,5,5,0.0
Apache Xerces,0.6,0.6,89,5,0.0
Research question,1.0,1.0,11,15,0.0
Resection margin,1.0,1.0,21,5,0.0
Reserved IP addresses,1.0,1.0,97,5,0.0
Respiratory deposition,0.6,0.6,0,5,0.0
Antonov An-225 Mriya,0.6,0.6,74,5,0.0
Anxiogenic,0.8,0.8,74,5,0.0
Anzick-1,0.8,0.8,8,5,0.0
Apache Arrow,1.0,1.0,87,5,0.0
Apache Lucene,0.8,0.8,75,5,0.0
Respiratory disease,1.0,1.0,18,10,0.0
Respiratory center,0.6,0.6,63,25,0.0
Reservoir sampling,0.8,0.8,15,25,0.0
Apache OpenNLP,1.0,1.0,29,50,0.0
Respiratory acidosis,0.8,0.8,84,5,0.0
Respiration (physiology),0.6,0.6,12,10,0.0
Resource Interchange File Format,0.8,0.8,58,5,0.0
Resonance (chemistry),0.8,0.8,48,5,0.0
Resistance to diversity efforts in organizations,0.8,0.8,62,5,0.0
Apache ZooKeeper,0.6,0.6,98,5,0.0
Reinforcement learning from human feedback,0.8,0.8,88,10,0.0
Annonaceae,0.8,0.8,22,10,0.0
Regulation and prevalence of homeopathy,0.6,0.6,48,5,0.0
Recreational use of dextromethorphan,0.8,0.8,82,15,0.0
Recombinant protein production,0.8,0.8,0,5,0.0
Recombinant DNA,0.8,0.8,0,5,0.0
Reclassification,0.8,0.8,20,10,0.0
Receptor (biochemistry),0.8,0.8,40,30,0.0
Receptive aphasia,1.0,1.0,94,5,0.0
Recall (memory),0.8,0.8,93,30,0.0
Real gas,1.0,1.0,55,5,0.0
Reagent,0.6,0.6,73,10,0.0
Reactogenicity,0.6,0.6,41,5,0.0
Reaction inhibitor,1.0,1.0,1,5,0.0
Reaction coordinate,1.0,1.0,42,10,0.0
Reactance (psychology),1.0,1.0,27,5,0.0
Ray transfer matrix analysis,1.0,1.0,25,5,0.0
Apoidea,0.6,0.6,73,5,0.0
Recreational use of nitrous oxide,0.6,0.6,71,5,0.0
Rectal administration,1.0,1.0,90,5,0.0
Apnea,0.8,0.8,78,5,0.0
Reduction potential,0.8,0.8,66,5,0.0
Regorafenib,0.8,0.8,98,5,0.0
Reflowable document,1.0,1.0,15,5,0.0
Reflectin,1.0,1.0,89,10,0.0
Reference ranges for blood tests,0.8,0.8,62,5,0.0
Apicius,1.0,1.0,96,5,0.0
Red–black tree,0.6,0.6,90,15,0.0
Redkite,0.8,0.8,19,5,0.0
Rectangular function,0.6,0.6,98,10,0.0
Red oil,0.6,0.6,61,5,0.0
Red Data Book of the Russian Federation,0.6,0.6,92,10,0.0
Recuva,1.0,1.0,85,5,0.0
Recurrence relation,0.8,0.8,52,5,0.0
Apigenin,0.6,0.6,73,40,0.0
Rectenna,0.8,0.8,70,5,0.0
Response element,0.6,0.6,71,35,0.0
Restriction enzyme,0.6,0.6,0,5,0.0
Restriction enzymes,0.6,0.6,0,5,0.0
Restrictive lung disease,0.8,0.8,12,10,0.0
Row- and column-major order,0.8,0.8,15,10,0.0
Roundup (herbicide),0.6,0.6,13,5,0.0
Rotigotine,0.6,0.6,99,15,0.0
Rotaxane,1.0,1.0,68,5,0.0
Anthraquinones,0.8,0.8,64,10,0.0
Rotary evaporator,1.0,1.0,13,5,0.0
Anthrax (American band),0.6,0.6,80,5,0.0
Rodan (surname),0.6,0.6,50,5,0.0
Rocket sled launch,0.6,0.6,42,5,0.0
Rocket propellant,0.8,0.8,98,5,0.0
Rituximab,0.8,0.8,44,5,0.0
Anthrax Vaccine Immunization Program,0.8,0.8,1,40,0.0
Ripping,0.8,0.8,96,5,0.0
Riodinidae,1.0,1.0,15,5,0.0
Riociguat,1.0,1.0,33,5,0.0
Royal Thai General System of Transcription,0.6,0.6,96,15,0.0
Rubella,0.6,0.6,79,20,0.0
Anthranilic acid,0.6,0.6,81,10,0.0
Anoxygenic photosynthesis,0.8,0.8,65,5,0.0
Annotation,0.8,0.8,38,5,0.0
RuvABC,0.6,0.6,92,250,0.0
Rust converter,0.8,0.8,37,5,0.0
Anophthalmia,1.0,1.0,64,5,0.0
Rust,0.6,0.6,2,5,0.0
Anoxia,0.6,0.6,18,5,0.0
Russian NBC Protection Troops,0.8,0.8,29,5,0.0
Ruby character,0.6,0.6,89,5,0.0
Russian Armed Forces casualties in Syria,0.6,0.6,77,5,0.0
Anthelmintic,1.0,1.0,12,10,0.0
Rumen,0.6,0.6,3,5,0.0
Rules of Civility and Decent Behaviour In Company and Conversation,0.6,0.6,48,5,0.0
Rule of inference,1.0,1.0,75,5,0.0
Ruhrstahl X-4,0.6,0.6,73,5,0.0
Anthriscus sylvestris,0.6,0.6,59,5,0.0
Anthrozoology,0.8,0.8,55,5,0.0
Rilmenidine,0.8,0.8,60,15,0.0
Reverse genetics,0.6,0.6,0,5,0.0
Antileukotriene,0.8,0.8,46,20,0.0
Rheumatoid factor,0.8,0.8,58,10,0.0
Rhaphidophoridae,0.8,0.8,78,5,0.0
Rhabdophis,0.6,0.6,66,5,0.0
Revival of the woolly mammoth,0.6,0.6,82,70,0.0
Antimicrobial properties of copper,0.6,0.6,101,20,0.0
Reverse DNS lookup,0.6,0.6,35,15,0.0
Rhipicephalus,0.6,0.6,57,45,0.0
Retrotransposon,0.6,0.6,26,70,0.0
Retrogradation (starch),0.8,0.8,53,5,0.0
Retinoschisis,1.0,1.0,35,5,0.0
Reticuloendothelial system,0.6,0.6,82,40,0.0
Reticulocyte,0.6,0.6,59,5,0.0
Resveratrol,0.8,0.8,77,5,0.0
Antihypertensive,1.0,1.0,47,10,0.0
Antihistamine,1.0,1.0,67,5,0.0
Riftia,0.6,0.6,96,5,0.0
Ribose-5-phosphate isomerase deficiency,0.8,0.8,73,20,0.0
Antibiotic sensitivity testing,0.8,0.8,48,10,0.0
Antidote,0.6,0.6,38,5,0.0
Richardson–Lucy deconvolution,1.0,1.0,95,5,0.0
Ribozyme,1.0,1.0,20,60,0.0
Ribosome,0.8,0.8,3,95,0.0
Antifreeze protein,0.6,0.6,34,25,0.0
Ribonucleotide reductase,0.6,0.6,0,5,0.0
Rhizopogon,0.8,0.8,80,5,0.0
Ribonucleotide,1.0,1.0,44,35,0.0
Ribociclib,0.8,0.8,73,5,0.0
Antifungal resistance,0.8,0.8,0,5,0.0
Rhomphaia,0.6,0.6,64,5,0.0
Rhodopsin,0.8,0.8,76,5,0.0
Rhodococcus,0.6,0.6,81,80,0.0
Rattus,0.8,0.8,78,5,0.0
Rate–distortion theory,0.8,0.8,73,15,0.0
Rate equation,0.6,0.6,64,5,0.0
Putrefaction,0.8,0.8,42,15,0.0
Aroma compound,0.6,0.6,51,5,0.0
Psilocybin mushroom,0.6,0.6,71,5,0.0
Buthidae,0.6,0.6,97,15,0.0
Psilocybe allenii,0.6,0.6,77,5,0.0
Psidium cattleyanum,0.6,0.6,32,10,0.0
Psidium,0.6,0.6,92,5,0.0
Art of the AIDS Crisis,0.8,0.8,40,5,0.0
Pseudotsuga,0.8,0.8,91,5,0.0
Pseudonocardia,1.0,1.0,96,10,0.0
Pseudomonas denitrificans,0.6,0.6,87,20,0.0
Artemia salina,1.0,1.0,95,5,0.0
Pseudoephedrine/loratadine,0.6,0.6,29,15,0.0
Pseudoenzyme,1.0,1.0,7,55,0.0
Pseudocholinesterase deficiency,0.8,0.8,53,10,0.0
Pseudocerotidae,0.6,0.6,66,5,0.0
Psychoplastogen,0.6,0.6,80,5,0.0
Psychrometric constant,0.8,0.8,9,5,0.0
Pteridinium,0.6,0.6,71,5,0.0
Pulmonology,0.8,0.8,64,5,0.0
Purified water,0.6,0.6,76,5,0.0
Punnett square,0.8,0.8,71,40,0.0
Punch drunk (disambiguation),0.8,0.8,7,5,0.0
Pulsed laser,0.8,0.8,61,5,0.0
Pulsatilla,1.0,1.0,24,10,0.0
Pulpitis,0.8,0.8,18,5,0.0
Pulmonary infiltrate,1.0,1.0,84,15,0.0
Pterophyllum scalare,0.8,0.8,82,5,0.0
Argininosuccinate synthase,0.8,0.8,41,110,0.0
Pulmonary gas pressures,0.6,0.6,13,15,0.0
Argument (linguistics),0.6,0.6,67,10,0.0
Arm folding,1.0,1.0,58,15,0.0
Pulmonary agent,0.8,0.8,24,15,0.0
Pueo,0.6,0.6,48,5,0.0
Psalm 122,0.6,0.6,5,5,0.0
Prunus caroliniana,0.8,0.8,48,5,0.0
Prunus africana,1.0,1.0,77,10,0.0
Artificial life,0.6,0.6,52,20,0.0
Protein-protein interactions,0.5,0.5,0,4,0.0
Protein toxicity,1.0,1.0,0,5,0.0
Protein therapeutics,0.6,0.6,31,20,0.0
Protein tertiary structure,0.8,0.8,69,80,0.0
Artificial intelligence and copyright,0.8,0.8,77,10,0.0
Protein structure prediction,0.8,0.8,4,90,0.0
Protein secondary structure,0.8,0.8,31,30,0.0
Proteinopathy,0.8,0.8,14,10,0.0
Protein quaternary structure,0.6,0.6,72,155,0.0
Protein purification,0.6,0.6,0,5,0.0
Protein pH sensitivity,1.0,1.0,0,5,0.0
Artificial organ,0.8,0.8,98,5,0.0
Protein fusion,1.0,1.0,0,5,0.0
Protein expression,1.0,1.0,0,5,0.0
Proteinogenic amino acid,0.6,0.6,27,100,0.0
Article (publishing),0.8,0.8,43,5,0.0
Arterial occlusion,0.6,0.6,65,5,0.0
Proton-to-electron mass ratio,0.8,0.8,77,10,0.0
Proximal tubule,0.6,0.6,73,5,0.0
Proximal Origin,0.6,0.6,30,25,0.0
Arthropod mouthparts,1.0,1.0,40,5,0.0
Protozoa,1.0,1.0,92,5,0.0
Protospacer adjacent motif,1.0,1.0,39,110,0.0
Protoplasm,0.6,0.6,68,5,0.0
Arthrospira platensis,0.6,0.6,97,5,0.0
Proteomics,1.0,1.0,80,80,0.0
Protocell,0.8,0.8,90,10,0.0
Proto-Kra–Dai language,0.6,0.6,67,15,0.0
Proto-Indo-European verbs,0.6,0.6,92,5,0.0
Arthur Kornberg,0.8,0.8,74,5,0.0
Proterospongia,0.8,0.8,98,15,0.0
Proteostasis,0.6,0.6,34,70,0.0
Argentina and weapons of mass destruction,0.6,0.6,15,5,0.0
Pycnodysostosis,0.8,0.8,83,5,0.0
Rapunzel syndrome,1.0,1.0,87,5,0.0
Pyrethrin,0.8,0.8,46,15,0.0
Racecadotril,0.8,0.8,80,15,0.0
Applications of artificial intelligence,0.8,0.8,78,5,0.0
Rabies vaccine,0.6,0.6,10,35,0.0
Applications of nanotechnology,0.8,0.8,86,10,0.0
Approximation algorithm,1.0,1.0,23,10,0.0
Rab escort protein 1,0.6,0.6,25,15,0.0
Apraxia of speech,1.0,1.0,72,5,0.0
RT-21 Temp 2S,0.6,0.6,24,5,0.0
AquAdvantage salmon,0.6,0.6,69,20,0.0
Aquarium filter,0.8,0.8,82,5,0.0
RNA purification,0.8,0.8,0,5,0.0
Aqueous solution,1.0,1.0,56,5,0.0
Arabidopsis,0.6,0.6,65,70,0.0
RICTOR,0.8,0.8,19,25,0.0
RICE (medicine),1.0,1.0,25,5,0.0
Racemization,0.8,0.8,70,5,0.0
Racism in Africa,0.8,0.8,89,5,0.0
Racism in Japan,0.6,0.6,47,10,0.0
Raffia palm,0.8,0.8,49,5,0.0
Raphide,1.0,1.0,24,20,0.0
Ranunculales,1.0,1.0,49,5,0.0
Ranters,1.0,1.0,41,5,0.0
Random effects model,0.6,0.6,74,5,0.0
Rand index,1.0,1.0,42,10,0.0
Rajpal Singh Yadav,0.6,0.6,76,10,0.0
Radioresistance,1.0,1.0,83,45,0.0
Racism in Ukraine,0.6,0.6,83,5,0.0
Radical 85,0.8,0.8,72,5,0.0
Radical 115,0.6,0.6,97,5,0.0
Radical (chemistry),1.0,1.0,52,5,0.0
Radiation effects from the Fukushima Daiichi nuclear disaster,0.8,0.8,47,5,0.0
Radial nerve dysfunction,0.6,0.6,27,5,0.0
Radafaxine,0.6,0.6,17,5,0.0
RASSF1,0.6,0.6,81,35,0.0
RANK,1.0,1.0,88,5,0.0
R-12 Dvina,0.6,0.6,17,5,0.0
Pyrrhocoris apterus,0.6,0.6,98,15,0.0
Pyruvate dehydrogenase,0.6,0.6,32,5,0.0
Archelosauria,0.8,0.8,71,5,0.0
Pyruvate carboxylase,1.0,1.0,94,10,0.0
Pyrus communis,0.6,0.6,81,5,0.0
Pyrroloquinoline quinone,0.6,0.6,5,65,0.0
Pyrrole,0.6,0.6,56,10,0.0
Archimedes (1797),1.0,1.0,91,5,0.0
Pyuria,1.0,1.0,55,5,0.0
Pyroglutamic acid,1.0,1.0,45,5,0.0
Pyrilutamide,0.8,0.8,47,5,0.0
Pyridoxine/doxylamine,0.8,0.8,65,10,0.0
Pyridostigmine,0.8,0.8,12,15,0.0
Pyridinium chlorochromate,0.8,0.8,65,5,0.0
Pyridine,0.5,0.5,75,4,0.0
Pyruvate dehydrogenase complex,0.6,0.6,82,30,0.0
Q (programming language from Kx Systems),0.8,0.8,91,30,0.0
R-1 (missile),0.6,0.6,52,5,0.0
Question,0.8,0.8,41,10,0.0
R (programming language),0.6,0.6,82,5,0.0
Araguaian river dolphin,0.8,0.8,23,5,0.0
Aramaic original New Testament theory,0.6,0.6,42,5,0.0
Quine–McCluskey algorithm,0.8,0.8,83,15,0.0
Quicksort,0.6,0.6,42,10,0.0
Questioning (sexuality and gender),0.8,0.8,37,25,0.0
Archaeoraptor,0.8,0.8,35,5,0.0
Q-analog,0.6,0.6,68,5,0.0
Quaternions and spatial rotation,0.8,0.8,40,5,0.0
Quarterly Journal of the Royal Meteorological Society,0.6,0.6,45,5,0.0
Quantum suicide and immortality,0.6,0.6,92,5,0.0
Archaeplastida,0.8,0.8,57,5,0.0
QR algorithm,0.6,0.6,84,5,0.0
Q-exponential distribution,0.6,0.6,70,15,0.0
Ryukyuan religion,0.6,0.6,22,5,0.0
S-75 Dvina,0.6,0.6,91,5,0.0
Alcohols (medicine),0.8,0.8,85,5,0.0
Skeletal pneumaticity,0.8,0.8,16,5,0.0
Smoke inhalation,0.6,0.6,12,10,0.0
Smoke,1.0,1.0,64,4,0.0
Smith–Waterman algorithm,0.6,0.6,22,510,0.0
Alloy (specification language),1.0,1.0,57,5,0.0
Smit,0.6,0.6,53,5,0.0
Smilax,0.8,0.8,82,5,0.0
Alocasia odora,0.8,0.8,60,5,0.0
Small GTPase,0.8,0.8,58,10,0.0
Alpha-1-microglobulin,0.8,0.8,100,25,0.0
Sleep mode,0.6,0.6,44,5,0.0
Sleep inertia,1.0,1.0,68,5,0.0
Sleep and breathing,0.8,0.8,17,5,0.0
Slavic vocabulary,0.6,0.6,27,80,0.0
Skinnerhyus,0.8,0.8,53,5,0.0
Skin infection,0.8,0.8,45,5,0.0
Allotropes of sulfur,0.8,0.8,54,10,0.0
Snuppy,0.6,0.6,58,10,0.0
Allotropes of phosphorus,0.6,0.6,27,15,0.0
Solanum americanum,0.6,0.6,40,5,0.0
Sonic hedgehog protein,1.0,1.0,78,5,0.0
Soman,0.8,0.8,29,5,0.0
Allosteric enzyme,0.8,0.8,4,15,0.0
Solvation shell,1.0,1.0,69,25,0.0
Solvation,1.0,1.0,61,10,0.0
Solid-state nuclear magnetic resonance,1.0,1.0,89,25,0.0
Software bug,1.0,1.0,75,5,0.0
Sodium hyaluronate,0.8,0.8,28,5,0.0
Software agent,1.0,1.0,12,5,0.0
Softmax function,0.8,0.8,99,5,0.0
Allotropes of carbon,0.8,0.8,70,25,0.0
Allotropes of oxygen,0.8,0.8,44,5,0.0
Sodium/glucose cotransporter 2,0.6,0.6,32,5,0.0
Sodium-glucose transport proteins,0.5,0.5,44,20,0.0
Skewbald,0.6,0.6,39,5,0.0
Alpha-2A adrenergic receptor,0.6,0.6,16,10,0.0
S-layer,0.8,0.8,97,45,0.0
Sixth chord,0.6,0.6,87,5,0.0
Side effects of cyproterone acetate,0.6,0.6,40,5,0.0
Siamese neural network,0.8,0.8,20,30,0.0
Sialic acid receptors,0.8,0.8,0,5,0.0
Amanita regalis,0.6,0.6,25,5,0.0
Shva,0.6,0.6,29,5,0.0
Shuttlecraft,0.8,0.8,12,5,0.0
Shuttle-Centaur,0.6,0.6,13,5,0.0
Shuttle vector,1.0,1.0,0,5,0.0
Shotokuvirae,0.6,0.6,97,5,0.0
Shortness of breath,0.8,0.8,43,15,0.0
Amateur radio frequency allocations,1.0,1.0,68,5,0.0
Amatoxin,0.6666666666666666,0.6666666666666666,5,108,0.0
Shingles,0.6,0.6,100,50,0.0
Amaymon,0.6,0.6,42,5,0.0
Amazon S3 Glacier,0.6,0.6,68,10,0.0
Alveolar–arterial gradient,0.6,0.6,15,15,0.0
Alveolar soft part sarcoma,0.8,0.8,43,5,0.0
Alveolar osteitis,0.8,0.8,66,10,0.0
Single-cell transcriptomics,1.0,1.0,8,15,0.0
Six-dimensional space,0.6,0.6,57,5,0.0
Six Paths,0.6,0.6,61,5,0.0
Alström syndrome,0.8,0.8,57,5,0.0
Sitagliptin,0.8,0.8,87,5,0.0
Sinking of the Moskva,0.8,0.8,12,5,0.0
Alternative media (U.S. political left),0.6,0.6,55,5,0.0
Simufilam,0.6,0.6,91,45,0.0
Alveolar consonant,0.8,0.8,5,5,0.0
Simple continued fraction,0.6,0.6,81,5,0.0
Similarity measure,0.6,0.6,25,30,0.0
Silodosin,1.0,1.0,30,5,0.0
Silhouette (clustering),0.6,0.6,83,15,0.0
Silene stenophylla,0.6,0.6,74,5,0.0
Silene,0.6,0.6,22,10,0.0
Sorbus,0.8,0.8,56,5,0.0
Allodynia,0.8,0.8,93,5,0.0
Allison 1000 transmission,0.6,0.6,95,5,0.0
South African farm attacks,0.6,0.6,66,5,0.0
Alkaptonuria,0.6,0.6,77,15,0.0
Stable fly,0.6,0.6,43,15,0.0
Spy pixel,0.8,0.8,70,5,0.0
Allan–Herndon–Dudley syndrome,0.6,0.6,74,5,0.0
Allele,0.8,0.8,87,20,0.0
Sports broadcasting contracts in India,0.8,0.8,92,30,0.0
Allergen immunotherapy,1.0,1.0,44,10,0.0
Spontaneous combustion,0.8,0.8,54,5,0.0
Spontaneous bacterial peritonitis,0.6,0.6,89,5,0.0
Spliceosome,0.6,0.6,43,60,0.0
Allergic bronchopulmonary aspergillosis,0.8,0.8,49,45,0.0
Spirometry,0.6,0.6,30,5,0.0
Spin–lattice relaxation,1.0,1.0,93,15,0.0
Spinal disease,0.8,0.8,48,5,0.0
Allergic rhinitis,1.0,1.0,98,5,0.0
Stack-sortable permutation,0.6,0.6,51,5,0.0
Staining,1.0,1.0,99,15,0.0
Staling,0.8,0.8,62,5,0.0
Star Canopus diving accident,0.8,0.8,21,5,0.0
Statute of Labourers 1351,0.8,0.8,80,5,0.0
Statistical theory,0.6,0.6,89,5,0.0
Stations of the Exodus,0.8,0.8,50,5,0.0
Static site generator,1.0,1.0,42,5,0.0
Start codon,0.8,0.8,38,50,0.0
Aldehyde dehydrogenase,0.6,0.6,41,50,0.0
Aliivibrio fischeri,0.6,0.6,75,50,0.0
Standard Portable Intermediate Representation,0.8,0.8,87,5,0.0
Alkali–silica reaction,0.8,0.8,67,10,0.0
Alkaloid,0.6,0.6,28,5,0.0
Stanley B. Prusiner,0.6,0.6,47,5,0.0
Standard molar entropy,0.8,0.8,93,5,0.0
Standard enthalpy of reaction,0.8,0.8,24,5,0.0
Standard electrode potential (data page),0.8,0.8,68,5,0.0
Sphinx (documentation generator),0.8,0.8,42,10,0.0
Sphingomyelin,0.8,0.8,17,25,0.0
Sphingolipid,0.8,0.8,100,30,0.0
Southern United States literature,0.8,0.8,69,5,0.0
Soviet-type economic planning,1.0,1.0,100,5,0.0
Soviet space dogs,0.6,0.6,65,5,0.0
Soviet helicopter carrier Leningrad,0.6,0.6,25,10,0.0
Soviet famine of 1946–1947,0.6,0.6,75,5,0.0
Alligatoroidea,0.6,0.6,21,5,0.0
Soviet Border Troops,0.8,0.8,67,5,0.0
Southern United States,0.6,0.6,16,5,0.0
Space complexity,0.8,0.8,89,10,0.0
Southern Levant,0.8,0.8,14,5,0.0
Southern Jutland,0.6,0.6,50,5,0.0
Southern Dispersal,1.0,1.0,39,5,0.0
Alliin,0.6,0.6,80,10,0.0
Southern Arizona,0.8,0.8,10,5,0.0
Southern (Govia Thameslink Railway),0.8,0.8,71,5,0.0
Soy allergy,1.0,1.0,52,5,0.0
Spaced repetition,0.8,0.8,93,30,0.0
Sphenoid sinus,0.8,0.8,59,5,0.0
Allergy,1.0,1.0,48,25,0.0
Spermidine,0.6,0.6,88,60,0.0
Spermatogenesis,0.6,0.6,32,5,0.0
Spermatocele,0.8,0.8,44,5,0.0
Spermatid,0.8,0.8,83,20,0.0
Sperm washing,1.0,1.0,40,10,0.0
Spelt,1.0,1.0,74,5,0.0
"Special Herbs, Vol. 4",0.6,0.6,83,15,0.0
Spaceflight osteopenia,0.6,0.6,23,5,0.0
Spearman's rank correlation coefficient,0.8,0.8,52,5,0.0
Spatial memory,0.8,0.8,42,5,0.0
Spathiphyllum,0.8,0.8,47,5,0.0
Sparse identification of non-linear dynamics,0.6,0.6,45,15,0.0
Allethrins,0.6,0.6,77,5,0.0
Spacing effect,0.8,0.8,38,5,0.0
American Beer (album),0.6,0.6,21,5,0.0
Shiatsu,0.6,0.6,70,5,0.0
Shewanella oneidensis,0.6,0.6,14,35,0.0
Seal meat,0.8,0.8,39,60,0.0
Scalar (mathematics),0.8,0.8,82,5,0.0
Androgen-dependent condition,0.8,0.8,65,5,0.0
Saxitoxin,0.8,0.8,0,5,0.0
Saucer,1.0,1.0,94,5,0.0
Androstenone,1.0,1.0,76,30,0.0
Sarracenia purpurea,1.0,1.0,64,20,0.0
Sardine run,0.6,0.6,81,5,0.0
Sarcoscypha coccinea,0.6,0.6,63,5,0.0
Sarcoidosis,0.6,0.6,38,5,0.0
Anemone hepatica,0.6,0.6,12,5,0.0
Angioedema,1.0,1.0,32,15,0.0
Saponification value,0.6,0.6,9,10,0.0
Santolina chamaecyparissus,0.8,0.8,96,5,0.0
Santalales,0.6,0.6,28,10,0.0
Angiomyolipoma,0.8,0.8,45,5,0.0
Scalar (physics),0.8,0.8,49,5,0.0
Schema.org,0.8,0.8,98,15,0.0
Schild equation,1.0,1.0,74,5,0.0
Scopolamine,0.8,0.8,45,10,0.0
Sea Witch (container ship),0.6,0.6,28,5,0.0
Sd.Kfz. 265 Panzerbefehlswagen,0.6,0.6,72,5,0.0
Anabolism,0.8,0.8,44,20,0.0
Screening (medicine),1.0,1.0,4,5,0.0
Scrapie,1.0,1.0,81,105,0.0
Scottish red deer,0.6,0.6,99,5,0.0
Sclerotinia sclerotiorum,0.8,0.8,6,5,0.0
Schistocyte,0.8,0.8,58,10,0.0
Schlosser's base,0.6,0.6,83,10,0.0
Anal gland,0.8,0.8,86,5,0.0
