topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Taxonomic database,1.0,1.0,70,220,0.0
Metabolic typing,0.8,0.8,89,10,0.0
Metamonad,0.8,0.8,54,15,0.0
Methanol toxicity,0.6,0.6,94,10,0.0
Transfer learning,0.6,0.6,29,5,0.0
Tea and toast syndrome,0.6,0.6,51,5,0.0
Tartessian language,0.8,0.8,82,5,0.0
Targeted therapy,0.8,0.8,2,10,0.0
Thomas Eric Duncan,0.6,0.6,82,20,0.0
Trachoma,0.6,0.6,8,10,0.0
Theory of mind in animals,0.6,0.6,41,5,0.0
Modes of mechanical ventilation,0.6,0.6,26,10,0.0
Theoretical astronomy,0.8,0.8,75,5,0.0
Morphosyntactic alignment,0.8,0.8,81,5,0.0
Modes of convergence (annotated index),0.6,0.6,64,10,0.0
Morris water navigation task,0.8,0.8,71,5,0.0
Thymine,0.6,0.6,88,50,0.0
Thelaziasis,0.8,0.8,97,5,0.0
Thymol,0.6,0.6,35,5,0.0
Thymus,0.75,0.75,34,4,0.0
Model selection,0.8,0.8,91,20,0.0
Theanine,0.6,0.6,98,5,0.0
Thyroid function tests,1.0,1.0,88,5,0.0
Thyroid hormone resistance,0.6,0.6,73,35,0.0
Thyroxine,0.6,0.6,11,10,0.0
Mk 47 Striker,0.6,0.6,23,5,0.0
Mitral cell,0.8,0.8,10,5,0.0
Mitotic catastrophe,0.8,0.8,56,5,0.0
Time series database,1.0,1.0,96,15,0.0
The Genetic Lottery,0.8,0.8,68,5,0.0
The Computer Language Benchmarks Game,1.0,1.0,68,5,0.0
Motor neuron diseases,0.8,0.8,6,5,0.0
Timeline of HIV/AIDS,0.6,0.6,50,20,0.0
Motor protein,1.0,1.0,83,30,0.0
Mitogen-activated protein kinase,1.0,1.0,60,10,0.0
Timeline of electrical and electronic engineering,0.6,0.6,92,5,0.0
Moringa (genus),0.8,0.8,95,5,0.0
Theridion grallator,0.6,0.6,53,5,0.0
Metric signature,0.6,0.6,35,10,0.0
Thymeleaf,0.8,0.8,70,5,0.0
Thompson sampling,1.0,1.0,100,5,0.0
Molluscum contagiosum,0.6,0.6,57,5,0.0
Thioredoxin reductase,0.6,0.6,65,50,0.0
Thoracic diaphragm,0.8,0.8,26,10,0.0
Three prime untranslated region,0.6,0.6,56,50,0.0
Mollaret's meningitis,0.6,0.6,47,5,0.0
Thromboangiitis obliterans,1.0,1.0,84,5,0.0
Molecule editor,0.8,0.8,90,50,0.0
Monascus purpureus,0.6,0.6,77,10,0.0
Thrombocytopenia,0.8,0.8,67,5,0.0
Thrombosis,1.0,1.0,97,5,0.0
Thrombotic microangiopathy,1.0,1.0,63,15,0.0
Monastic cell,1.0,1.0,81,5,0.0
Molecular machine,1.0,1.0,75,60,0.0
Mono- and diglycerides of fatty acids,0.8,0.8,98,5,0.0
Thermoreceptor,0.6,0.6,34,5,0.0
Mold health issues,0.6,0.6,3,70,0.0
Mojibake,0.8,0.8,52,5,0.0
Thermodynamic databases for pure substances,1.0,1.0,63,5,0.0
Monocyte,0.5,0.5,57,12,0.0
Monomer,1.0,1.0,15,40,0.0
Thunderful Development,0.8,0.8,3,540,0.0
Modularity (networks),0.6,0.6,94,5,0.0
Monothalamea,0.6,0.6,18,5,0.0
Morchella,0.6,0.6,60,5,0.0
Motorola 68060,0.6,0.6,59,5,0.0
Timeline of extinctions in the Holocene,0.6,0.6,77,5,0.0
Misuse of p-values,0.8,0.8,59,20,0.0
Mount Chimaera,0.8,0.8,19,5,0.0
Mucositis,1.0,1.0,24,5,0.0
Microwave chemistry,0.8,0.8,92,5,0.0
Microvillus,0.8,0.8,82,5,0.0
Mucus,1.0,1.0,56,9,0.0
Titin,0.6,0.6,89,45,0.0
Microsoft Office 2004 for Mac,0.8,0.8,95,5,0.0
Microscopic polyangiitis,0.6,0.6,95,10,0.0
Microphthalmia,0.6,0.6,93,5,0.0
Tobacco-specific nitrosamines,0.8,0.8,22,30,0.0
Micronutrient deficiency,0.6,0.6,82,10,0.0
Tocopherol,0.6,0.6,20,10,0.0
Micrococcus luteus,0.6,0.6,79,35,0.0
Tody,0.6,0.6,66,5,0.0
Multidimensional network,1.0,1.0,97,10,0.0
Tomer Devorah,1.0,1.0,98,5,0.0
Tetanus,0.6,0.6,7,25,0.0
Multilinear form,0.8,0.8,41,10,0.0
Tesofensine,1.0,1.0,66,35,0.0
Toros de Aragua,0.6,0.6,64,15,0.0
Toshiyori,0.8,0.8,87,5,0.0
Toxic megacolon,1.0,1.0,74,5,0.0
Tesla (unit),0.6,0.6,42,5,0.0
Toxicology,0.6,0.6,94,10,0.0
Multiple endocrine neoplasia type 2,0.6,0.6,82,5,0.0
Toxidrome,0.6,0.6,6,20,0.0
Middle frontal gyrus,0.6,0.6,31,5,0.0
Tetraphobia,0.8,0.8,52,5,0.0
Tit (bird),0.6,0.6,85,5,0.0
MinD,0.8,0.8,33,70,0.0
Missing letter effect,0.8,0.8,77,5,0.0
Missile defense,0.8,0.8,95,5,0.0
Timeline of human evolution,0.8,0.8,72,15,0.0
Timeline of medicine and medical technology,0.8,0.8,34,10,0.0
Misophonia,0.8,0.8,74,5,0.0
Text corpus,0.6,0.6,52,5,0.0
Minimum description length,0.8,0.8,19,5,0.0
Mouth ulcer,0.8,0.8,16,5,0.0
Timeline of the history of genetics,0.8,0.8,34,65,0.0
Mineralocorticoid receptor antagonist,0.6,0.6,82,5,0.0
Tetrose,0.6,0.6,51,10,0.0
Mozilla Application Suite,0.6,0.6,96,5,0.0
Tiotropium bromide,0.6,0.6,75,5,0.0
Tetrazepam,0.8,0.8,41,5,0.0
Milking,0.8,0.8,29,5,0.0
Military operations of the Israeli–Palestinian conflict,0.6,0.6,33,5,0.0
Mucoactive agent,0.6,0.6,73,15,0.0
Militarization of police,0.8,0.8,34,5,0.0
Mucociliary escalator,0.6,0.6,0,5,0.0
Miliary tuberculosis,0.8,0.8,82,10,0.0
Mucopolysaccharidosis,0.8,0.8,19,30,0.0
Timestamp,0.8,0.8,51,5,0.0
Midwoofer-tweeter-midwoofer,0.6,0.6,52,5,0.0
Tinea capitis,1.0,1.0,86,5,0.0
Timor mortis conturbat me,0.8,0.8,76,5,0.0
Proofs of Fermat's little theorem,0.6,0.6,96,10,0.0
Trehalose,0.6,0.6,89,15,0.0
Loss of heterozygosity,0.8,0.8,97,15,0.0
Loop variant,0.8,0.8,18,25,0.0
Web indexing,0.8,0.8,35,50,0.0
Web content,1.0,1.0,51,5,0.0
Web browsing history,1.0,1.0,24,20,0.0
Web Accessibility Initiative,1.0,1.0,77,5,0.0
Water model,0.8,0.8,99,5,0.0
Loss function,1.0,1.0,13,5,0.0
Loss functions for classification,1.0,1.0,6,5,0.0
Water glyphs,0.6,0.6,87,5,0.0
Menotropin,1.0,1.0,89,5,0.0
Lossy compression,1.0,1.0,43,5,0.0
Lost 52 Project,1.0,1.0,26,5,0.0
Lost artworks,0.6,0.6,90,5,0.0
Louvain method,0.6,0.6,89,10,0.0
Lovász number,0.8,0.8,54,5,0.0
Water column,0.6,0.6,99,10,0.0
Low-fat diet,0.6,0.6,34,5,0.0
Low-molecular-weight chromium-binding substance,0.6,0.6,15,210,0.0
Loop invariant,1.0,1.0,68,5,0.0
Longest repeated substring problem,0.8,0.8,65,5,0.0
Longest common subsequence,0.8,0.8,61,40,0.0
Weekly Torah portion,0.8,0.8,86,5,0.0
Why Most Published Research Findings Are False,0.8,0.8,56,5,0.0
Li–Fraumeni syndrome,1.0,1.0,67,5,0.0
Lloyd's Open Form,0.8,0.8,68,5,0.0
Loa loa filariasis,0.6,0.6,47,10,0.0
Lobar pneumonia,0.6,0.6,81,20,0.0
Lobodontini,0.6,0.6,74,5,0.0
Whipple's disease,0.8,0.8,31,10,0.0
Locality (linguistics),1.0,1.0,44,15,0.0
Wharton's jelly,0.6,0.6,83,10,0.0
Locality of reference,1.0,1.0,59,5,0.0
Lockheed EC-130,0.8,0.8,37,5,0.0
Lockheed EC-130H Compass Call,0.6,0.6,63,5,0.0
Logic of graphs,0.8,0.8,41,10,0.0
Wernicke encephalopathy,0.8,0.8,58,5,0.0
Wehrmacht foreign volunteers and conscripts,0.6,0.6,55,5,0.0
Long Range Discrimination Radar,0.6,0.6,55,5,0.0
Long-term impact of alcohol on the brain,0.8,0.8,29,5,0.0
Lsjbot,0.6,0.6,88,5,0.0
Walliserops,0.6,0.6,53,45,0.0
Lucius Artorius Castus,0.8,0.8,54,5,0.0
Lynx (web browser),0.6,0.6,29,5,0.0
Lysine—pyruvate 6-transaminase,0.8,0.8,55,15,0.0
Virus (comics),0.6,0.6,75,5,0.0
Virtualization,0.8,0.8,59,5,0.0
Lysophosphatidic acid,0.8,0.8,66,5,0.0
Virtual screening,0.8,0.8,29,300,0.0
Virtual reality sickness,0.8,0.8,39,5,0.0
Viroid,0.8,0.8,31,320,0.0
Viral reactivation,0.8,0.8,0,5,0.0
Léonin,0.6,0.6,92,5,0.0
M981 FISTV,0.6,0.6,66,5,0.0
MALL,0.8,0.8,87,25,0.0
MALT1,0.6,0.6,12,120,0.0
MAP4,0.6,0.6,71,5,0.0
MARC standards,0.6,0.6,87,5,0.0
MAgPIE,0.6,0.6,82,10,0.0
Vimentin,0.6,0.6,69,70,0.0
Viking halberd,1.0,1.0,36,5,0.0
Visual processing abnormalities in schizophrenia,0.6,0.6,13,5,0.0
Visual release hallucinations,0.8,0.8,79,5,0.0
Waldenström macroglobulinemia,0.6,0.6,36,10,0.0
Lymphoid leukemia,0.6,0.6,84,5,0.0
Wagner–Fischer algorithm,0.8,0.8,94,10,0.0
WS-124A Flying Cloud,0.8,0.8,25,10,0.0
Ludwig Hahn,0.6,0.6,60,5,0.0
Vomiting,0.8,0.8,57,10,0.0
Lunar Terrain Vehicle,0.6,0.6,40,5,0.0
Lung (Tibetan Buddhism),0.6,0.6,49,5,0.0
Lutetium–yttrium oxyorthosilicate,0.6,0.6,35,5,0.0
Volta–Congo languages,0.6,0.6,70,25,0.0
Voiced alveolo-palatal affricate,0.6,0.6,45,5,0.0
Lygosoma,1.0,1.0,62,5,0.0
Lymphatic malformations,0.6,0.6,17,10,0.0
Lymphedema,1.0,1.0,92,10,0.0
Viverrinae,0.6,0.6,85,50,0.0
Viverridae,0.6,0.6,39,5,0.0
Lymphocytic pleocytosis,0.6,0.6,93,10,0.0
Vitamin deficiency,0.6,0.6,88,5,0.0
Lymphocytopenia,0.8,0.8,57,5,0.0
Wind turbine syndrome,0.6,0.6,29,5,0.0
Living medicine,0.6,0.6,55,10,0.0
Liver receptor homolog-1,0.6,0.6,65,5,0.0
Z39.50,1.0,1.0,82,160,0.0
List of technology terms,0.6,0.6,99,5,0.0
List of television formats and genres,0.8,0.8,66,15,0.0
Yohimbine,1.0,1.0,76,5,0.0
List of text corpora,0.6,0.6,63,25,0.0
List of text mining software,0.8,0.8,33,45,0.0
Yeyi language,0.8,0.8,86,15,0.0
List of therapeutic monoclonal antibodies,0.6,0.6,34,10,0.0
List of thermal conductivities,0.6,0.6,79,5,0.0
Yellow-headed day gecko,0.6,0.6,82,5,0.0
Yellow rain,0.8,0.8,65,10,0.0
List of threatened species of the Philippines,0.6,0.6,71,5,0.0
List of topics characterized as pseudoscience,1.0,1.0,27,10,0.0
List of trance genres,0.8,0.8,29,15,0.0
List of trees of Great Britain and Ireland,0.8,0.8,99,5,0.0
List of turn-based strategy video games,0.6,0.6,4,25,0.0
List of types of XML schemas,1.0,1.0,40,25,0.0
Y-DNA haplogroups in populations of Europe,0.8,0.8,77,10,0.0
List of tanker aircraft,1.0,1.0,8,5,0.0
Zaslon,0.6,0.6,65,5,0.0
List of unproven and disproven cancer treatments,0.6,0.6,3,5,0.0
List of systems biology modeling software,0.6,0.6,79,95,0.0
Ř,0.6,0.6,79,5,0.0
List of side effects of buspirone,0.6,0.6,29,5,0.0
Ă,0.6,0.6,47,5,0.0
List of skeletal muscles of the human body,1.0,1.0,93,15,0.0
List of software development philosophies,1.0,1.0,45,10,0.0
Â,0.8,0.8,84,5,0.0
List of songs subject to plagiarism disputes,0.8,0.8,61,15,0.0
Zygosity,1.0,1.0,91,40,0.0
List of sovereign states in the 1850s,0.6,0.6,65,10,0.0
List of stationery topics,0.8,0.8,45,5,0.0
List of strawberry cultivars,0.8,0.8,67,5,0.0
Zuiyo-maru carcass,0.8,0.8,52,5,0.0
List of suicides in Nazi Germany,0.6,0.6,44,5,0.0
Zinc toxicity,0.8,0.8,65,25,0.0
Zimmerit,0.6,0.6,41,5,0.0
Zelus renardii,0.8,0.8,9,10,0.0
List of surnames in Ukraine,0.8,0.8,24,5,0.0
List of types of numbers,1.0,1.0,11,120,0.0
Xylose isomerase,0.8,0.8,98,5,0.0
Lithium toxicity,0.6,0.6,93,20,0.0
Lists of diseases,1.0,1.0,33,4,0.0
Lists of human genes,0.8,0.8,56,35,0.0
Lists of poisonings,0.8,0.8,4,5,0.0
WorldMap,0.8,0.8,98,20,0.0
Lists of record labels,0.6,0.6,29,5,0.0
Lists of shapes,0.8,0.8,61,10,0.0
Lists of traffic collisions,0.8,0.8,13,5,0.0
Word catheter,0.6,0.6,6,5,0.0
Lists of unusual deaths,0.8,0.8,84,10,0.0
Lists of victims of the September 11 attacks,0.8,0.8,48,5,0.0
Lists of villages in Nigeria,0.8,0.8,100,5,0.0
Wooden chest syndrome,0.8,0.8,64,10,0.0
Wolinella,0.6,0.6,70,15,0.0
Wolbachia,1.0,1.0,14,65,0.0
Withaferin A,0.6,0.6,18,30,0.0
Lists of websites,0.8,0.8,92,55,0.0
Windows Script Host,1.0,1.0,74,5,0.0
Litany of the Sacred Heart of Jesus,1.0,1.0,24,5,0.0
Lists of drugs,0.8,0.8,88,40,0.0
Lists of cultivars,1.0,1.0,94,10,0.0
List of unsolved problems in astronomy,0.8,0.8,79,5,0.0
Lists of Knesset members,0.8,0.8,82,5,0.0
List of valid argument forms,0.8,0.8,95,20,0.0
List of vehicles of the Royal Malaysian Police,0.8,0.8,89,5,0.0
List of venomous animals,1.0,1.0,38,15,0.0
List of victims of the September 11 attacks (A–G),0.8,0.8,45,20,0.0
List of victims of the September 11 attacks (H–N),0.6,0.6,17,5,0.0
List of wax figures displayed at Madame Tussauds museums,0.8,0.8,51,5,0.0
List of weapon systems of the South African Air Force,0.6,0.6,72,10,0.0
Xenobot,0.8,0.8,8,15,0.0
List of works by Bede,0.6,0.6,48,5,0.0
List of years in anime,1.0,1.0,78,10,0.0
Xanthoria parietina,0.6,0.6,42,5,0.0
Xanthochromia,0.8,0.8,72,5,0.0
XQuery,0.8,0.8,77,50,0.0
Listeria,0.8,0.8,89,45,0.0
XML Schema (W3C),0.8,0.8,51,25,0.0
XML Metadata Interchange,1.0,1.0,92,5,0.0
XM25 CDTE,1.0,1.0,73,5,0.0
MHC class II,0.8,0.8,96,175,0.0
Vietnam War Song Project,0.6,0.6,33,5,0.0
Video compression picture types,0.8,0.8,34,5,0.0
Type inference,1.0,1.0,52,5,0.0
Type II topoisomerase,0.8,0.8,32,45,0.0
Type 73 light machine gun,0.6,0.6,39,5,0.0
Two-dimensional nuclear magnetic resonance spectroscopy,1.0,1.0,16,85,0.0
Two-dimensional chromatography,0.8,0.8,67,30,0.0
Marshall syndrome,0.6,0.6,61,5,0.0
Martian lava tube,0.6,0.6,65,5,0.0
Twitching motility,0.8,0.8,94,50,0.0
Tweedie distribution,0.8,0.8,100,5,0.0
Martian meteorite,0.6,0.6,90,5,0.0
Tumors of the hematopoietic and lymphoid tissues,1.0,1.0,100,10,0.0
Tumor-infiltrating lymphocytes,0.8,0.8,70,60,0.0
Martian regolith,0.6,0.6,93,5,0.0
Tube feet,0.6,0.6,79,5,0.0
Tsort,0.8,0.8,47,5,0.0
MassMatrix,0.6,0.6,96,30,0.0
Tropical vegetation,0.8,0.8,58,5,0.0
Mast cell leukemia,0.6,0.6,44,10,0.0
Maroteaux–Lamy syndrome,0.8,0.8,46,15,0.0
Type theory with records,0.6,0.6,82,90,0.0
Tropical ulcer,1.0,1.0,91,15,0.0
Marmoset,0.8,0.8,51,5,0.0
United Network for Organ Sharing,0.8,0.8,90,5,0.0
Marburg acute multiple sclerosis,0.8,0.8,10,10,0.0
Unicode equivalence,0.8,0.8,86,10,0.0
Marcus Gunn phenomenon,0.6,0.6,32,5,0.0
Ukrainian alphabet,0.6,0.6,49,5,0.0
Ukraine and weapons of mass destruction,0.6,0.6,5,10,0.0
Maria Jasin,0.8,0.8,63,5,0.0
UR-100N,0.6,0.6,23,10,0.0
UCSC Genome Browser,0.6,0.6,75,265,0.0
Tōkai earthquakes,0.8,0.8,50,5,0.0
Marine fungi,0.8,0.8,95,5,0.0
Mark Wainberg,0.8,0.8,47,10,0.0
Markov chain mixing time,0.8,0.8,54,15,0.0
Markov chain tree theorem,0.8,0.8,94,5,0.0
Typhus,1.0,1.0,81,8,0.0
Markov logic network,1.0,1.0,83,5,0.0
Types of periodic tables,0.6,0.6,92,10,0.0
Mastocytosis,1.0,1.0,94,10,0.0
Trodusquemine,0.6,0.6,78,15,0.0
University of the Virgin Islands,0.6,0.6,65,5,0.0
Megacolon,1.0,1.0,65,5,0.0
Megalopta genalis,0.6,0.6,66,5,0.0
Meghan Camarena,0.6,0.6,63,5,0.0
Meiosis,0.8,0.8,78,10,0.0
Trichothecene,0.6,0.6,36,145,0.0
Trichostrongylus,0.8,0.8,95,215,0.0
Melatonin receptor,0.6,0.6,6,10,0.0
Membrane fluidity,0.6,0.6,100,5,0.0
Memetics,0.8,0.8,58,10,0.0
Memorial Medical Center and Hurricane Katrina,0.6,0.6,66,5,0.0
Trichogramma,0.8,0.8,71,5,0.0
Memory development,0.6,0.6,36,5,0.0
Triatominae,0.8,0.8,67,25,0.0
Triatoma sanguisuga,0.6,0.6,53,5,0.0
Memory erasure,0.8,0.8,50,20,0.0
Memory inhibition,0.6,0.6,34,5,0.0
Memory leak,1.0,1.0,50,5,0.0
Triangle of U,0.8,0.8,98,10,0.0
Megaesophagus,1.0,1.0,21,15,0.0
Medullary sponge kidney,0.8,0.8,61,10,0.0
Mathematical descriptions of the electromagnetic field,1.0,1.0,9,5,0.0
Tricho–dento–osseous syndrome,0.6,0.6,22,5,0.0
Triptan,0.6,0.6,89,5,0.0
Mathematical operators and symbols in Unicode,0.8,0.8,28,80,0.0
Matrix similarity,1.0,1.0,94,10,0.0
Matsudaira Katamori,0.6,0.6,99,5,0.0
Trinitarianism in the Church Fathers,0.8,0.8,82,5,0.0
Maurice Wilkins,0.8,0.8,44,5,0.0
Trimethylaminuria,0.8,0.8,50,30,0.0
Trigonocephaly,0.8,0.8,46,5,0.0
Maximum operating depth,0.6,0.6,2,5,0.0
Maze generation algorithm,0.8,0.8,79,5,0.0
"Meal, Combat, Individual ration",0.6,0.6,55,5,0.0
Meatal stenosis,0.8,0.8,28,5,0.0
Median lethal dose,0.8,0.8,43,10,0.0
Medical cybernetics,0.8,0.8,95,15,0.0
Medical genetics of Jews,0.6,0.6,75,40,0.0
Tricolorability,0.6,0.6,90,5,0.0
Mediterranean tropical-like cyclone,0.8,0.8,9,5,0.0
Maraviroc,0.8,0.8,29,30,0.0
MapInfo Interchange Format,0.6,0.6,81,5,0.0
MMR vaccine and autism,1.0,1.0,33,30,0.0
Vector multiplication,1.0,1.0,83,5,0.0
Macrophagic myofasciitis,0.8,0.8,56,75,0.0
Madelung's deformity,0.6,0.6,100,5,0.0
Vector fields in cylindrical and spherical coordinates,0.8,0.8,29,5,0.0
Magnetic dipole transition,0.6,0.6,95,5,0.0
Magnetic energy,0.6,0.6,12,5,0.0
Vector Sport,0.6,0.6,93,5,0.0
Vector (mathematics and physics),0.8,0.8,13,35,0.0
Magnetohydrodynamic drive,0.8,0.8,86,5,0.0
Magnetoresistive RAM,0.8,0.8,100,5,0.0
Vasospasm,0.6,0.6,56,5,0.0
Magnetorquer,0.8,0.8,16,5,0.0
Vascular tumor,0.8,0.8,100,5,0.0
Vascular plant,0.8,0.8,49,20,0.0
Vascular malformation,0.6,0.6,85,10,0.0
Variational Bayesian methods,1.0,1.0,38,10,0.0
Variation Selectors (Unicode block),0.8,0.8,70,25,0.0
Makuya,0.6,0.6,15,5,0.0
Vector monitor,0.8,0.8,43,10,0.0
Macrogen,0.6,0.6,87,5,0.0
Variability hypothesis,0.6,0.6,7,5,0.0
Machine-readable medium and data,0.8,0.8,80,5,0.0
MNIST database,0.6,0.6,96,25,0.0
MRGPRX2,0.6,0.6,23,10,0.0
MRSA ST398,0.8,0.8,23,5,0.0
Version history for TLS/SSL support in web browsers,1.0,1.0,78,10,0.0
Verse (poetry),0.8,0.8,80,5,0.0
MYC,0.6,0.6,77,80,0.0
Verbascoside,0.6,0.6,44,5,0.0
Vehicular suicide,0.8,0.8,4,5,0.0
MYH14,0.8,0.8,77,5,0.0
Vegetation,0.8,0.8,15,5,0.0
MYND zinc finger,0.6,0.6,83,10,0.0
Vegetarian and vegan dog diet,0.8,0.8,55,10,0.0
Vedolizumab,0.8,0.8,11,35,0.0
Machine olfaction,1.0,1.0,48,50,0.0
Vector spherical harmonics,0.6,0.6,52,15,0.0
Machine perfusion,0.8,0.8,84,10,0.0
Machine translation software usability,1.0,1.0,98,5,0.0
Variant angina,0.6,0.6,94,5,0.0
Varanidae,0.8,0.8,91,10,0.0
Manuscript,0.6,0.6,77,5,0.0
Urologic disease,0.6,0.6,23,10,0.0
Mamba (deep learning architecture),0.6,0.6,35,35,0.0
Urolithin A,1.0,1.0,90,5,0.0
Mammalian kidney,0.8,0.8,68,5,0.0
Urinary meatus,0.8,0.8,7,5,0.0
Uremia,0.6,0.6,51,5,0.0
Management of HIV/AIDS,0.8,0.8,6,40,0.0
Management of dehydration,0.8,0.8,46,10,0.0
Manatee conservation,1.0,1.0,35,5,0.0
Urease,0.8,0.8,83,75,0.0
Tandy 1000,0.6,0.6,78,5,0.0
Urea,0.6,0.6,96,10,0.0
Manganese deficiency (plant),0.6,0.6,68,5,0.0
Mani Jewel,0.6,0.6,46,5,0.0
Manifold alignment,1.0,1.0,50,15,0.0
Manifold hypothesis,0.8,0.8,94,15,0.0
Upside-down question and exclamation marks,0.6,0.6,7,5,0.0
Unsolved problems in medicine,1.0,1.0,35,5,0.0
Malyuk,0.8,0.8,75,10,0.0
Urophagia,0.6,0.6,98,10,0.0
Vapour pressure of water,0.6,0.6,46,10,0.0
Ursodoxicoltaurine,0.6,0.6,87,5,0.0
Vaping-associated pulmonary injury,0.6,0.6,39,15,0.0
Vanilla (genus),0.6,0.6,44,5,0.0
Vagus nerve stimulation,0.6,0.6,57,5,0.0
Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),0.6,0.6,79,60,0.0
Vaginismus,0.8,0.8,42,5,0.0
Vacutainer,0.6,0.6,98,10,0.0
Vaccines and autism,1.0,1.0,37,40,0.0
Uveitis,0.8,0.8,16,5,0.0
Malignant hyperthermia,0.6,0.6,76,30,0.0
Malignant peripheral nerve sheath tumor,0.6,0.6,52,5,0.0
Urticaria pigmentosa,0.8,0.8,74,5,0.0
Malignant rhabdoid tumour,1.0,1.0,93,15,0.0
Malpighian tubule system,1.0,1.0,52,10,0.0
Malpolon monspessulanus,0.6,0.6,99,5,0.0
Maltodextrin,0.8,0.8,80,5,0.0
Urticaceae,0.8,0.8,99,10,0.0
Ursus dolinensis,0.8,0.8,83,5,0.0
Ureaplasma urealyticum,0.8,0.8,90,165,0.0
Static site generator,1.0,1.0,42,5,0.0
Tandem mass spectrometry,1.0,1.0,25,15,0.0
Penile fracture,0.6,0.6,100,5,0.0
Penile spines,0.8,0.8,59,5,0.0
Richter's transformation,0.6,0.6,87,5,0.0
Richardson–Lucy deconvolution,1.0,1.0,95,5,0.0
Pentose phosphate pathway,0.8,0.8,80,5,0.0
Ribociclib,0.8,0.8,73,5,0.0
Peptide,0.8,0.8,67,45,0.0
Rhizopogon,0.8,0.8,80,5,0.0
Rhipicephalus,0.6,0.6,57,45,0.0
Peptoid,0.6,0.6,15,65,0.0
Per-unit system,0.8,0.8,89,5,0.0
Perchlorate,0.8,0.8,36,5,0.0
Percutaneous endoscopic gastrostomy,1.0,1.0,7,5,0.0
Perfluorinated compound,0.8,0.8,95,5,0.0
Perilla,1.0,1.0,50,20,0.0
Perindopril/indapamide,1.0,1.0,56,15,0.0
Rhaphidophoridae,0.8,0.8,78,5,0.0
Periorbital cellulitis,1.0,1.0,24,5,0.0
Peripheral artery disease,0.8,0.8,97,5,0.0
Reverse DNS lookup,0.6,0.6,35,15,0.0
Penile frenulum,1.0,1.0,87,5,0.0
Riftia,0.6,0.6,96,5,0.0
Reticulocyte,0.6,0.6,59,5,0.0
Rilmenidine,0.8,0.8,60,15,0.0
Rubinstein–Taybi syndrome,0.6,0.6,90,10,0.0
Rubella,0.6,0.6,79,20,0.0
Pathogen evolution,0.6,0.6,0,5,0.0
Royal Thai General System of Transcription,0.6,0.6,96,15,0.0
Pathogenesis,0.6,0.6,15,20,0.0
Row- and column-major order,0.8,0.8,15,10,0.0
Rotary evaporator,1.0,1.0,13,5,0.0
Peak signal-to-noise ratio,0.6,0.6,21,5,0.0
Rodan (surname),0.6,0.6,50,5,0.0
Pectin lyase,0.6,0.6,93,5,0.0
Rocket propellant,0.8,0.8,98,5,0.0
Pediculosis,1.0,1.0,98,5,0.0
Pediculosis pubis,0.8,0.8,29,5,0.0
Rituximab,0.8,0.8,44,5,0.0
Ritonavir,0.8,0.8,1,10,0.0
Pedra Furada,0.6,0.6,47,5,0.0
Peerage law,1.0,1.0,77,5,0.0
Ripping,0.8,0.8,96,5,0.0
Penicillin,0.6,0.6,28,5,0.0
Retinoschisis,1.0,1.0,35,5,0.0
Periventricular leukomalacia,1.0,1.0,54,10,0.0
Ruhrstahl X-4,0.6,0.6,73,5,0.0
Reproductive toxicity,0.8,0.8,68,5,0.0
Repeat sign,0.6,0.6,30,5,0.0
Rendition aircraft,0.8,0.8,38,5,0.0
Rendering (animal products),0.6,0.6,55,5,0.0
Religious and political symbols in Unicode,0.6,0.6,56,5,0.0
Relaxation (NMR),0.8,0.8,5,5,0.0
Relapse,0.8,0.8,81,15,0.0
Reinforcement learning from human feedback,0.8,0.8,88,10,0.0
Regulation and prevalence of homeopathy,0.6,0.6,48,5,0.0
Phalaris (plant),0.8,0.8,87,10,0.0
PharmacoEconomics,1.0,1.0,81,5,0.0
Reflowable document,1.0,1.0,15,5,0.0
Reflectin,1.0,1.0,89,10,0.0
Pharmacodynamics,0.8,0.8,50,10,0.0
Pharmacology of ethanol,0.6,0.6,86,5,0.0
Reference work,0.6,0.6,90,10,0.0
Reed–Sternberg cell,0.8,0.8,90,30,0.0
Pharmacometrics,0.6,0.6,39,5,0.0
Pharynx,1.0,1.0,11,5,0.0
Redkite,0.8,0.8,19,5,0.0
Replication (computing),0.6,0.6,23,5,0.0
Research design,1.0,1.0,22,5,0.0
Retatrutide,0.6,0.6,76,5,0.0
Peter Piot,0.6,0.6,10,5,0.0
Resveratrol,0.8,0.8,77,5,0.0
Respiratory tract infection,0.6,0.6,45,70,0.0
Respiratory tract,1.0,1.0,10,5,0.0
Peroxisome proliferator-activated receptor,0.75,0.75,35,92,0.0
Peroxisome proliferator-activated receptor alpha,0.5,0.5,89,16,0.0
Respiratory syncytial virus vaccine,0.6,0.6,66,100,0.0
Respiratory quotient,0.8,0.8,57,30,0.0
Respiratory disease,1.0,1.0,18,10,0.0
Respiratory center,0.6,0.6,63,25,0.0
Persistent homology,0.8,0.8,50,15,0.0
Respiratory alkalosis,0.8,0.8,70,10,0.0
Perspiration,1.0,1.0,69,5,0.0
Resource Interchange File Format,0.8,0.8,58,5,0.0
Pest (organism),1.0,1.0,13,5,0.0
Resistance to diversity efforts in organizations,0.8,0.8,62,5,0.0
