"hit_id","article_topic","article_text_truncated","option_1","option_2","option_3","option_4","correct_option_position","distractor_1","distractor_1_rank_distance","distractor_2","distractor_2_rank_distance","distractor_3","distractor_3_rank_distance","topic_distance_from_base"
"148","Lakes of Titan","• Titan, Saturn's largest moon, has lakes and seas composed of liquid ethane and methane on its surface, confirmed by the Cassini-Huygens space probe after being suspected since the 1980s. • The lakes are concentrated near Titan's polar regions and cover only a few percent of the surface, making Titan much drier than Earth despite having the first stable bodies of surface liquid found off Earth. • Kraken Mare and Ligeia Mare are among the largest liquid bodies, with Ligeia Mare covering 126,000 km² (slightly larger than Lake Michigan-Huron) and having depths of 170 meters. • Titan's lakes contain hundreds of times more liquid hydrocarbons than all known oil and natural gas reserves on Earth, with visible lakes holding about 300 times the volume of Earth's proven oil reserves. • The lakes consist primarily of ethane (about 75%) with methane (10%), propane (7%), and smaller amounts of other compounds including hydrogen cyanide, butane, nitrogen, and argon. • Ontario Lacus in the southern polar region is extremely shallow (average depth 0.4-3.2 meters), resembling a terrestrial mudflat, contrasting with the much deeper northern lakes. • Definitive evidence of these hydrocarbon lakes was announced in January 2007 based on Cassini radar observations that showed large, smooth patches near the poles. • No waves have been detected on the lakes despite calculations suggesting that wind speeds of less than 1 meter per second should create detectable waves, possibly due to low seasonal winds or hydrocarbon solidification.","Uriel's Machine","Lubbock Lights","Kepler's Supernova","Lakes of Titan","4","Lubbock Lights","203","Kepler's Supernova","228","Uriel's Machine","179","750"
"149","Glacial stream","• **Glacial streams are channelized areas formed by glaciers where liquid water accumulates and flows, with movement influenced by gravity and ice melting.** • **Four main types of glacial streams exist based on location: supraglacial (on top of glacier), englacial (inside glacier), subglacial (under glacier), and proglacial (beyond glacier terminus).** • **Glacial erosion through abrasion and plucking creates U-shaped valleys that direct water movement, with streams ranging from centimeters to tens of meters in width.** • **Glacial streams are found globally in high-latitude and alpine environments wherever glaciers are present, with length varying based on watershed size and glacier characteristics.** • **Stream discharge fluctuates seasonally, peaking in summer due to warmer temperatures promoting meltwater, though glacial streams only receive about 52% of total meltwater production.** • **Glacial streams experience harsh conditions including low water temperatures (below 4°C in upper reaches), variable discharge rates, unstable substrates, and high turbidity from sediment load.** • **The dominant organisms in glacial streams are invertebrates from the chironomid subfamily Diamesinae, which show faster growth and higher body mass due to reduced competition.** • **High summer stream flows from ice melt increase turbidity and sediment transport, reducing periphyton biomass, while lower flows at summer's end allow periphyton populations to recover.**","Glacial stream","Mount Baker","Kaitake Range","Oligocene","1","Kaitake Range","115","Mount Baker","140","Oligocene","212","5"
"150","Empirical formula","• An empirical formula represents the simplest whole number ratio of atoms present in a chemical compound, without indicating the arrangement or actual number of atoms. • Different compounds can have the same empirical formula but different molecular formulas - for example, sulfur monoxide (SO) and disulfur dioxide (S₂O₂) both have the empirical formula SO. • The molecular formula shows the actual number of each type of atom in a molecule, while the empirical formula only shows their simplest ratio. • Empirical formulas are standard for ionic compounds (like CaCl₂) and macromolecules (like SiO₂), since ionic compounds exist as extended networks rather than discrete molecules. • Multiple compounds can share the same empirical formula - glucose (C₆H₁₂O₆), ribose (C₅H₁₀O₅), acetic acid (C₂H₄O₂), and formaldehyde (CH₂O) all have the empirical formula CH₂O. • The term 'empirical formula' originated from early chemistry when elemental analysis could only determine relative amounts of elements as percentages or ratios, not exact quantities. • To calculate an empirical formula from elemental composition data, convert percentages to grams, then to moles, and finally divide by the smallest mole value to get the simplest whole number ratio. • All formulas of ionic compounds are empirical because ionic compounds exist as extended networks of cations and anions rather than discrete molecules.","Empirical formula","Evaluation measures (information retrieval)","Acidic oxide","Hydrate","1","Evaluation measures (information retrieval)","227","Acidic oxide","105","Hydrate","123","150"
"151","Curvature form","• The curvature form describes the curvature of a connection on a principal bundle, with the Riemann curvature tensor being a special case of this general concept. • For a principal G-bundle P → B with Ehresmann connection ω (a Lie algebra-valued 1-form), the curvature form is defined as Ω = dω + ½[ω ∧ ω] = Dω, where D is the exterior covariant derivative. • A connection is called 'flat' if its curvature form vanishes (Ω = 0), which is equivalent to the structure group being reducible to the same group with discrete topology. • For vector bundles, the curvature form follows Cartan's structure equation: Ω = dω + ω ∧ ω, where ω and Ω are treated as matrices of differential forms. • In the case of a Riemannian manifold's tangent bundle, the structure group is O(n) and the curvature form Ω takes values in antisymmetric matrices, providing an alternative description of the Riemann curvature tensor. • The curvature form is a Lie algebra-valued 2-form that can be expressed in terms of horizontal vector fields as Ω(X,Y) = -ω([X,Y]) when X and Y are horizontal. • For vector bundle components, the curvature form satisfies Ω^i_j = dω^i_j + Σ_k ω^i_k ∧ ω^k_j, showing how individual form components interact through wedge products.","Generalized extreme value distribution","Curvature form","Palindromic number","Information content","2","Information content","160","Generalized extreme value distribution","182","Palindromic number","104","500"
"152","New Zealand Antarctic Medal","• The New Zealand Antarctic Medal was created on September 1, 2006, as a New Zealand royal honour to replace the British Polar Medal. • The medal was formally instituted by Queen Elizabeth II and replaced the British Polar Medal, which had been in use since 1904. • The medal was renamed from 'Polar Medal' to 'Antarctic Medal' to specifically reflect New Zealand's focus on Antarctic endeavors and achievements rather than general polar exploration. • Eligibility requires outstanding contributions to exploration, scientific research, conservation, environmental protection, or knowledge of the Antarctic region, either individually or as part of a New Zealand Antarctic mission. • The medal is not awarded for acts of bravery, short-term extreme endurance, long service, or general service in Antarctica. • As of December 2024, only 20 awards and one honorary award have been issued, indicating its selective nature. • All recipients are entitled to use the post-nominal letters 'NZAM' after their names. • The creation followed a 1995 recommendation by the Prime Minister's Honours Advisory Committee to establish a New Zealand-specific polar medal under New Zealand royal warrant.","Macaroni penguin","Iceberg","New Zealand Antarctic Medal","British Overseas Territories","3","Iceberg","118","Macaroni penguin","201","British Overseas Territories","110","50"
"153","Armorial of the House of Plantagenet","• The House of Plantagenet was the first truly armigerous (heraldry-bearing) royal dynasty of England. • Geoffrey, Count of Anjou (the Plantagenet founder) received lion heraldic emblems from Henry I of England, and his family experimented with different lion-bearing coats of arms. • The iconic Royal Arms of England - three lions on a red field (formally 'Gules, three lions passant guardant or') - was established during the reign of Richard I (1189-1199). • Cadet branches (junior branches) of the Plantagenet family used differenced versions of the three lions arms to show their relationship to the main royal line. • Later Plantagenet members would quarter or impale the royal arms with other heraldic symbols to reflect their political aspirations and territorial claims. • The Plantagenet arms were transmitted to non-Plantagenet families through heiresses of Norfolk and Kent who married outside the dynasty. • Henry VI made the extraordinary grant of differenced Plantagenet arms to his maternal half-brothers, despite them not being descended from the English royal family. • The armorial system encompassed the major branches including the Houses of Lancaster, York, and Beaufort, all descended from Edward III.","Hrunting","Nimrod","Armorial of the House of Plantagenet","Cyrus the Great in the Bible","3","Cyrus the Great in the Bible","108","Hrunting","246","Nimrod","128","100"
"154","V-Dem Democracy Indices","• V-Dem Democracy Indices are published annually by the V-Dem Institute and analyze 50 indices consisting of over 450 specific indicators to measure various qualities of democracies • The dataset includes historical data dating back to the 1800s for some countries and covers 202 polities from 1789-2019 as of 2020 • V-Dem publishes five core democracy indices: Electoral Democracy Index, Liberal Democracy Index, Participatory Democracy Index, Deliberative Democracy Index, and Egalitarian Democracy Index • The Electoral Democracy Index serves as the foundational component measuring free and fair elections and independent media, and is incorporated into all other indices • V-Dem maintains the 'Regimes of the World' classification system that categorizes governments into four types: closed autocracy, electoral autocracy, electoral democracy, and liberal democracy • The classification system is based on Robert Dahl's theory of polyarchy, which requires six institutional guarantees including elected officials, free elections, freedom of expression, and inclusive citizenship • Liberal democracies in the V-Dem system must demonstrate rule of law, checks and balances, protection of individual liberties, and safeguards against 'tyranny of the majority' • The Digital Society Project is a specialized subset that measures 35 indicators related to internet censorship, online misinformation, and digital media freedom, with data covering 2000-2021","Constituencies of Mauritius","December 2005 Iraqi parliamentary election","Electronic voting machine","V-Dem Democracy Indices","4","Electronic voting machine","164","December 2005 Iraqi parliamentary election","135","Constituencies of Mauritius","124","10"
"155","Human rights","• Human rights are universally recognized moral principles that are inherent and inalienable to all individuals regardless of nationality, ethnicity, religion, gender, or other characteristics. • The modern concept of human rights gained prominence after World War II in response to Holocaust atrocities, leading to the adoption of the Universal Declaration of Human Rights (UDHR) by the UN General Assembly in 1948. • Human rights encompass civil, political, economic, social, and cultural rights, including the right to life, freedom of speech, protection against enslavement, and right to education. • The concept evolved from earlier ideas of natural rights that emerged during the medieval natural law tradition and developed through European Enlightenment philosophers like John Locke. • Historical foundations include ancient sources such as Jewish and Christian scriptures, Roman law, and early documents like the 13th-century Kouroukan Fouga constitution of the Mali Empire. • The UDHR has inspired numerous international treaties and national laws, setting global standards for human dignity, freedom, and justice. • Debates persist regarding implementation and cultural applicability, with critics citing cultural relativism and conflicts between individual rights and collectivist societies. • Human rights remain central to international relations, supported by institutions like the United Nations, NGOs, and national monitoring bodies worldwide.","Human rights","Labor rights","Commissioner for Human Rights","Asylum seeker","1","Labor rights","188","Asylum seeker","210","Commissioner for Human Rights","128","0"
"156","Second derivative","• The second derivative is the derivative of the derivative of a function, representing 'the rate of change of the rate of change' • In physics, the second derivative of position with respect to time equals acceleration (the rate at which velocity changes) • On a graph, the second derivative corresponds to the curvature or concavity - positive second derivative indicates upward concavity, negative indicates downward concavity • The second derivative power rule states that for x^n, the second derivative is n(n-1)x^(n-2) • Common notation for the second derivative includes f''(x) using prime notation and d²y/dx² using Leibniz notation • The Leibniz notation d²y/dx² is derived from taking the derivative d/dx of the first derivative (dy/dx)","Casey's theorem","Integration by parts","Second derivative","B+ tree","3","Casey's theorem","160","B+ tree","126","Integration by parts","137","100"
"157","Dunedin Volcano","• The Dunedin Volcano is an extensively eroded multi-vent shield volcano that was active between 16 and 10 million years ago, originally extending from Dunedin, New Zealand to Aramoana (about 25 km away). • Extensive erosion over 10 million years has left Otago Harbour filling the oldest parts of the volcano, with remnants forming the hills around the harbour including Mount Cargill, Flagstaff, Saddle Hill, Signal Hill, and Otago Peninsula. • The volcano produced an estimated 150 km³ of eruptive material and 600 km³ of intrusive rock, consisting mainly of basalt and minor trachyte flows, with final eruptions preserved as phonolite domes around Mount Cargill. • The Dunedin Volcano is the second-largest single eruptive center on New Zealand's South Island after Banks Peninsula Volcano, but is part of the much larger Dunedin volcanic group. • The formation mechanism is not fully understood but may involve intermittent melting of middle lithospheric mantle, possibly caused by sections of Zealandia's thin lithosphere sinking into the asthenosphere. • Unlike many volcanoes, the Dunedin Volcano may still have a potential magma melt pool underneath it, supported by heat-flow and surface-helium measurements, suggesting a low risk of future volcanic activity. • Volcanic traces can be observed today at the Dunedin Botanic Garden's geology walk, Aramoana cliffs, Mount Cargill's preserved lava domes, and basaltic columns at St Clair's Second Beach and Blackhead.","2022 Hunga Tonga–Hunga Haʻapai eruption and tsunami","Columbia River Basalt Group","Dunedin Volcano","Nyamuragira","3","Columbia River Basalt Group","222","2022 Hunga Tonga–Hunga Haʻapai eruption and tsunami","162","Nyamuragira","152","10"
"158","Cumbre Vieja tsunami hazard","• The Cumbre Vieja tsunami hazard refers to the theoretical risk that a volcanic eruption on La Palma (Canary Islands, Spain) could trigger a massive landslide, potentially causing a megatsunami across the Atlantic Ocean. • A 2001 study by Ward and Day proposed that a fracture formed during a 1949 eruption could lead to a giant collapse, potentially generating tsunamis that could impact areas as far as North America. • Later research suggests the tsunami threat may be overstated, as waves would likely decay quickly with distance from the source and be reduced by interactions with continental shelves. • Evidence indicates that most Canary Islands collapses occur as multi-stage events over hours or days rather than single catastrophic failures, which are less effective at generating large tsunamis. • The recurrence rate of major volcanic collapses in the Canary Islands is extremely low—approximately once every 100,000 years or less. • About 14 major landslide events have been recorded in the Canary Islands, particularly at El Hierro, La Palma, and Tenerife, with volumes typically ranging from 50-200 cubic kilometers. • Recent eruptions, including the 2021 La Palma event, did not result in any collapse, and the most recent major collapse in the Canary Islands occurred between 39,000-87,000 years ago at El Hierro. • Historical examples of landslide-generated tsunamis include the 2018 Sunda Strait tsunami (437+ fatalities) and the 1888 Ritter Island collapse (3,000 deaths), demonstrating that such events do occur but are relatively rare.","Lava planet","Banks Peninsula Volcano","Cumbre Vieja tsunami hazard","Pyroclastic surge","3","Lava planet","119","Banks Peninsula Volcano","112","Pyroclastic surge","101","25"
"159","Photojournalism","• Photojournalism is journalism that uses images to tell news stories, distinguished by a rigid ethical framework demanding honest and impartial reporting in strictly journalistic terms. • The first photograph used to illustrate a newspaper story depicted barricades in Paris during the June Days uprising on June 25, 1848, published as an engraving in L'Illustration. • Roger Fenton became the first official war photographer during the Crimean War, documenting troops, battle landscapes, and commanders, which laid the groundwork for modern photojournalism. • The Daily Graphic (New York) published the first halftone reproduction of a news photograph on March 4, 1880, marking a significant advancement over engraved images. • The invention of flash powder in 1887 enabled photographers like Jacob Riis to capture indoor subjects, leading to influential social documentary work such as 'How the Other Half Lives' (1890). • The 'Golden Age of Photojournalism' (1930s-1950s) was enabled by the development of the compact 35mm Leica camera in 1925 and flash bulbs between 1927-1930, giving journalists unprecedented flexibility. • The wirephoto technology introduced in 1921 revolutionized news transmission by allowing pictures to be sent almost as quickly as news itself could travel. • The Berliner Illustrirte Zeitung pioneered the modern illustrated news magazine format beginning in 1901, becoming the first to regularly print photographs inside magazines rather than just text.","Photojournalism","Printf","Water transfer printing","Game Boy Printer","1","Printf","107","Game Boy Printer","227","Water transfer printing","239","200"
"160","Meltwater","• Meltwater is water released by the melting of snow or ice, including glacial ice, icebergs, and ice shelves, commonly occurring in early spring and glacier ablation zones. • Meltwater provides drinking water for a large proportion of the world's population and supplies water for irrigation and hydroelectric plants through seasonal snowfall and glacier melting. • Major cities including Melbourne, Canberra, Los Angeles, and Las Vegas indirectly source water from meltwater, while La Paz and El Alto in Bolivia rely on glacial meltwater for about 30% of their water supply. • Glacial meltwater gets its characteristic brilliant blue color from 'rock flour' - fine sediment created by rocks grinding together underneath glaciers that scatters sunlight through the Tyndall Effect. • Meltwater acts as a lubricant in glacier movement, with GPS measurements showing glacial flow is greatest in summer when meltwater levels are highest. • Climate change poses a significant threat to meltwater sources, with the UN estimating that 40% of the world's population could be affected by the loss of glaciers and associated meltwater in Asia. • In parts of the Bolivian Andes, glacial meltwater contributes 31-65% of surface water in wet seasons and 39-71% in dry seasons, making these regions highly vulnerable to glacier loss. • Rapid meltwater changes can indicate abrupt climate change and cause dangerous events like glacial lake floods, avalanches, and sudden water body shifts beneath ice sheets.","Upper Paleolithic","Document","Meltwater","Tyche (hypothetical planet)","3","Document","241","Upper Paleolithic","155","Tyche (hypothetical planet)","210","350"
"161","European Union and the United Nations","• The European Union has held permanent observer status at the United Nations since 1974 and gained enhanced participation rights in 2011, including the right to speak in debates and submit proposals, but does not have voting rights. • The EU is represented at the UN alongside all 27 of its member states, with France being a permanent Security Council member with veto power. • EU member states collectively contribute 30.4% of the regular UN budget (2016), 33.2% of UN peacekeeping funding, and around half of the budgets for UN funds and programmes. • The EU coordinates extensively within the UN, holding over 1,000 internal coordination meetings annually, and achieves unanimous voting on approximately 80% of General Assembly resolutions. • EU voting coordination has dramatically improved from 86% in 1991-92 to 97% by 1998-99, maintaining high levels of unity on most issues including controversial Middle East topics. • The EU is party to approximately 50 international UN agreements as the only non-state participant and serves as a full participant in bodies like the Commission on Sustainable Development and Food and Agriculture Organization. • The EU operates its own missions to support UN efforts, such as the EU mission in Congo to support UN peacekeepers, and established the African Peace Facility. • EU member states provided 13.5% of UN peacekeeping personnel (11,140 people) as of 2006, demonstrating significant operational contribution beyond financial support.","European Union and the United Nations","Recognition of same-sex unions in Romania","Democratic legitimacy of the European Union","Pan-European identity","1","Pan-European identity","231","Recognition of same-sex unions in Romania","247","Democratic legitimacy of the European Union","161","1"
"162","Democratic capitalism","• **Democratic capitalism is a political and economic system that combines free-market capitalism with social welfare policies**, integrating resource allocation by both marginal productivity and social entitlement through democratically enacted policies. • **The system was widely implemented in the 20th century, particularly in Europe and the Western world after World War II**, when working classes became more accepting of capitalist markets paired with political democracy and social security. • **Key characteristics include democratic elections, freedom, rule of law, and private property rights**, while maintaining a free-market economic system with an emphasis on private enterprise. • **Implementation typically involves expanding welfare states, strengthening collective bargaining rights for employees, and strengthening competition laws**, all enacted within a capitalist framework. • **The 1944 Bretton Woods Conference was pivotal in establishing democratic capitalism**, with 44 nations committing to trade openness while maintaining autonomy to respond to domestic economic and social demands. • **Post-war democratic capitalist policies successfully reduced socioeconomic inequality** through welfare state expansion, more regulated financial and labor markets, and increased political power of labor unions. • **The system emerged partly as a response to the challenge of communism**, with policymakers adopting policies like public healthcare, housing, education, and full employment guarantees to satisfy social needs of voters. • **According to political scientist Wolfgang Merkel, democracy and capitalism coexisted with more complementarity in the post-war period than at any other point in history**.","European Sky Shield Initiative","Freeganism","Post-Fordism","Democratic capitalism","4","European Sky Shield Initiative","239","Post-Fordism","225","Freeganism","147","50"
"163","Polarizability","• **Polarizability is the tendency of matter to acquire an electric dipole moment when subjected to an electric field**, caused by the separation of negatively charged electrons and positively charged atomic nuclei under opposite forces. • **Polarizability is mathematically defined as the ratio of induced dipole moment to the applied electric field** (α = |p|/|E|), measuring how easily a charge distribution can be distorted from its normal shape. • **Polarizability is responsible for key material properties including dielectric constant and refractive index** at optical frequencies, making it fundamental to understanding how materials interact with electromagnetic fields. • **The local electric field experienced by individual molecules differs from the externally measured macroscopic field**, and this difference is accounted for by the Clausius-Mossotti relation that connects bulk material behavior to molecular polarizability. • **Polarizability has SI units of C·m²·V⁻¹ but is commonly expressed in cgs units as cm³**, often called 'polarizability volume' and sometimes given in Å³ (10⁻²⁴ cm³). • **Both electric and magnetic polarizability exist**, with magnetic polarizability referring to the tendency for magnetic dipole moments to appear in proportion to external magnetic fields. • **Polarizability should not be confused with intrinsic dipole moments**, as polarizability describes field-induced effects while intrinsic dipole moments exist independently of external fields. • **Polarizability provides insight into molecular internal structure** by revealing how bound systems like molecules or crystals respond dynamically to external electromagnetic fields.","Multipole expansion","International Geomagnetic Reference Field","Polarizability","Alkaline earth metal","3","Multipole expansion","225","Alkaline earth metal","217","International Geomagnetic Reference Field","143","150"
"164","Dewey Loeffel Landfill","• The Dewey Loeffel Landfill is an EPA Superfund site in Rensselaer County, New York, where over 46,000 tons of industrial hazardous waste were disposed of during the 1950s and 1960s by companies including General Electric, Bendix Corporation, and Schenectady Chemicals. • Hazardous substances including volatile organic compounds (VOCs) and polychlorinated biphenyls (PCBs) have contaminated groundwater, surface water, sediments, and fish in the area, resulting in a current ban on fish consumption in Nassau Lake and affected tributaries. • The site was added to the EPA's National Priorities List in March 2011 after decades of cleanup efforts, following 2009 sediment samples that showed continued PCB contamination despite prior containment efforts. • In 2012, the EPA reached agreements with General Electric and SI Group requiring construction of a water treatment plant and installation of groundwater extraction wells, with ongoing monitoring systems for contaminants like 1,4-dioxane. • The EPA is currently testing five remediation technologies including In-situ Chemical Oxidation and Enhanced In-situ Bioremediation, with field tests beginning in 2023 and a comprehensive evaluation report expected in 2025. • Local community complaints about environmental damage including fish and cattle kills date back to the 1950s, leading to the establishment of the Dewey Loeffel Community Advisory Group in 2019 to facilitate communication between residents and cleanup agencies. • New York State ordered cessation of site operations in 1968 due to community complaints and environmental damage, with Schenectady Chemicals agreeing to pay $496,500 toward cleanup efforts in 1986.","Vampire bat","List of ancient Greek and Roman monoliths","Tazumal","Dewey Loeffel Landfill","4","Tazumal","208","List of ancient Greek and Roman monoliths","230","Vampire bat","192","750"
"165","Supermassive black hole","• **Supermassive black holes are the largest type of black hole, with masses ranging from hundreds of thousands to billions of times the mass of the Sun (100,000+ solar masses).** • **Almost every large galaxy has a supermassive black hole at its center, including the Milky Way, which contains Sagittarius A*.** • **Only two supermassive black holes have been directly imaged by the Event Horizon Telescope: Sagittarius A* in the Milky Way and the black hole in galaxy Messier 87.** • **Supermassive black holes power active galactic nuclei (AGNs) and quasars through the process of accreting interstellar gas.** • **Despite their enormous mass, supermassive black holes can have densities lower than water due to their vast size - the density decreases as mass increases.** • **The tidal forces near a supermassive black hole's event horizon are much weaker than those of smaller black holes - a person at a 10 million solar mass black hole's event horizon would experience tidal forces similar to Earth's surface.** • **The discovery of supermassive black holes began in 1963 with Maarten Schmidt's investigation of quasar 3C 273, initially thought to be a star but found to be an extremely distant, energetic object.** • **Scientists theorize that the maximum natural mass for an actively accreting supermassive black hole is around 50 billion solar masses, though some models suggest even larger 'stupendously large black holes' could exist.**","Lovelock's theorem","Marika Taylor","Sticky bead argument","Supermassive black hole","4","Marika Taylor","159","Lovelock's theorem","238","Sticky bead argument","155","1"
"166","The Universe (TV series)","• The Universe is an American documentary television series that uses computer-generated imagery and computer graphics to depict astronomical objects, combined with expert interviews from cosmologists, astronomers, and astrophysicists. • The series was produced by Flight 33 Productions and Workaholic Productions and premiered on May 29, 2007, on the History Channel. • The show aired for 9 seasons total, with the first 5 seasons running on History Channel from 2007-2010, then moving exclusively to H2 from October 2011 through May 2015. • The series covers topics related to space exploration, the Solar System, and astronomical objects throughout the universe, featuring CGI renderings, video footage, photographs, and expert commentary. • Season 6 and the episode '7 Wonders of the Solar System' were produced in 3D format. • The final two seasons (7-9) were retitled 'The Universe: Ancient Mysteries Solved' and focused specifically on ancient mysteries related to the universe. • The series is currently rebroadcast on Viceland and Story Television networks.","QAM (television)","25th Primetime Emmy Awards","The Universe (TV series)","Emmy Awards","3","25th Primetime Emmy Awards","142","QAM (television)","213","Emmy Awards","189","250"
"167","Etymology of electricity","• The word 'electricity' derives from Greek ἤλεκτρον (elektron) meaning 'amber,' through classical Latin 'electrum' and Neo-Latin 'electricus' • William Gilbert first used the Neo-Latin term 'electricus' in his 1600 text 'De Magnete' to describe amber's attractive properties • Francis Bacon was the first to use the word 'electric' in English to describe materials like amber that attracted other objects • Sir Thomas Browne first used the English word 'electricity' in 1646 in his work 'Pseudodoxia Epidemica' • Originally, 'electricity' referred to the property of attracting light objects when rubbed (like amber), while 'electric' was a noun describing non-conducting materials with this property • The electrical term 'charge' was first used in 1748, much later than the basic electrical terminology • The definition of 'electricity' has significantly drifted over time - historically it meant electric charge, but today it's commonly used to refer to electric current, energy, power, or electrical phenomena in general • The phrase 'quantity of electricity' was commonly used by famous scientists like Franklin, Faraday, and Maxwell, but has fallen out of favor due to the word's multiple conflicting definitions • Modern scientists prefer the term 'charge' over 'electricity' to avoid confusion caused by the word's corrupted and contradictory modern usage","Armature (electrical)","Coal power in the United States","Overhead line","Etymology of electricity","4","Overhead line","248","Coal power in the United States","185","Armature (electrical)","134","1"
"168","Search data structure","• Search data structures enable efficient retrieval of specific items from a set of items, such as records from a database. • Linear search on an unordered list is the simplest but least efficient method, requiring operations proportional to n items in both worst and average cases. • Search data structures are classified as either static (for querying fixed databases) or dynamic (allowing insertion, deletion, or modification between queries). • Common query types include finding records with specific key values, finding minimum/maximum values, range queries, and multi-dimensional spatial queries (like geographic coordinates). • Popular single ordered key data structures include arrays, key-sorted arrays with binary search, self-balancing binary search trees, and hash tables. • Hash tables provide O(1) average case performance for search, insert, and delete operations, making them highly efficient for many applications. • Binary search trees offer O(log n) performance for search, insert, and delete operations in balanced implementations. • The cost-effectiveness of complex search structures depends on performing multiple queries, since building these structures requires at least O(n) operations.","Date and time notation in Spain","Search data structure","Complement (set theory)","Gauss's lemma (number theory)","2","Gauss's lemma (number theory)","110","Date and time notation in Spain","118","Complement (set theory)","148","100"
"169","Steam turbine locomotive","• Steam turbine locomotives transmitted power to wheels via steam turbines instead of conventional pistons, with numerous attempts made mostly without success, particularly in the 1930s as a way to compete with emerging diesel locomotives. • Key advantages included high efficiency at high speeds, fewer moving parts for potentially greater reliability, and elimination of the varying torque and 'hammer blow' problems associated with conventional piston locomotives. • Major disadvantages were that high efficiency was only achieved at high speeds and required heavy condensers to create near-vacuum conditions, plus turbines could only rotate in one direction requiring separate reverse turbines. • Two main drive methods were used: direct drive via gears or indirect drive using generator-powered traction motors. • Swedish engineer Fredrik Ljungström created some of the most successful designs, including 2-8-0 locomotives built in 1930 and 1936 that actually replaced conventional locomotives on the Grängesberg-Oxelösund Railway. • Germany made multiple attempts including Krupp-Zoelly (1928) and Maffei (1929) locomotives, but both were destroyed by bombs during World War II, and a Henschel turbine tender conversion (1927) had disappointing performance. • France built two experimental locomotives: the Nord Turbine project was canceled and built as a conventional locomotive instead, while SNCF 232.Q.1 (1940) featured individual turbines for each driving axle but was damaged in WWII and scrapped in 1946. • Italy's Giuseppe Belluzzo designed several experimental turbine locomotives, including an unusual four-wheel design with individual turbines per wheel, but none were successfully tested on main railway lines.","British Rail HS4000","Manning Wardle","Steam turbine locomotive","GWR 1400 Class","3","British Rail HS4000","203","Manning Wardle","193","GWR 1400 Class","111","25"
"170","Law of 22 Prairial","• The Law of 22 Prairial was enacted on June 10, 1794, during the French Revolution and became known as the 'law of the Great Terror,' proposed by Georges Couthon but likely written by Maximilien Robespierre. • The law was triggered by assassination attempts on Jean-Marie Collot d'Herbois (May 23) and Robespierre (May 25), 1794, leading to calls for harsher measures against political crimes. • It dramatically simplified judicial procedures by limiting trials to three days, eliminating defense counsel and witnesses, and requiring only two possible verdicts: acquittal or death. • The law expanded the definition of crimes to include vague offenses like 'slandering patriotism,' 'spreading false news,' and 'seeking to inspire discouragement,' making virtually any government criticism criminal. • It removed the immunity of Convention members from summary arrest, allowing them to be tried without a prior vote by the Convention itself. • The law immediately accelerated executions from an average of 5 per day to 17 in Prairial and 26 in Messidor, inaugurating the period known as 'The Great Terror.' • Opposition to the law within the Convention, particularly regarding the removal of deputies' immunity, led to political conflicts that contributed to Robespierre's downfall on July 27, 1794. • The Law of 22 Prairial was repealed on August 1, 1794, shortly after Robespierre's overthrow during the Thermidorian Reaction.","Hong Taiji","Antonio Onofri","March to Reims","Law of 22 Prairial","4","Antonio Onofri","213","Hong Taiji","142","March to Reims","176","500"
"171","List of power stations in India","• India's total installed power generation capacity is approximately 514 GW as of December 31, 2025. • Thermal power is the largest electricity source in India, generating about 71% of the country's electricity consumption, with coal alone meeting more than 62% of electricity demand. • India has 25 operational nuclear reactors with 8,880 MW installed capacity (1.9% of total capacity), accounting for around 3% of electricity generation, with 10 additional reactors totaling 8,000 MW under construction. • Renewable energy sources total over 206 GW, led by solar power at 135,810 MW and wind power at 54,511 MW, with smaller contributions from biomass, small hydro, and waste-to-energy. • India was the first country in the world to establish a ministry of non-conventional energy resources in the early 1980s. • Natural gas-based power plants have an installed capacity of nearly 25,000 MW, while diesel-based grid-connected plants contribute only 510 MW to the grid. • Hydroelectric power plants with generation capacity of 25 MW or less are classified as renewable energy under the Small Hydro Project (SHP) category. • The National Thermal Power Corporation (NTPC) is a major public sector operator of coal-based thermal power plants, alongside various state-level and private companies.","Chapelcross nuclear power station","Synthetic element","List of power stations in India","Mark 36 nuclear bomb","3","Synthetic element","228","Chapelcross nuclear power station","138","Mark 36 nuclear bomb","115","750"
